id_chamado,data_abertura,id_subtipo,tipo,id_bairro
16725889,2022-01-01,5071,Perturbação do sossego,20
16725896,2022-01-01,5071,Perturbação do sossego,26
16725898,2022-01-01,5071,Perturbação do sossego,128
16725902,2022-01-01,5071,Perturbação do sossego,38
16725903,2022-01-01,5071,Perturbação do sossego,26
16725906,2022-01-01,5071,Perturbação do sossego,38
16725907,2022-01-01,5071,Perturbação do sossego,124
16725911,2022-01-01,5071,Perturbação do sossego,148
16725912,2022-01-01,5071,Perturbação do sossego,132
16725913,2022-01-01,5071,Perturbação do sossego,125
16725917,2022-01-01,5071,Perturbação do sossego,99
16725918,2022-01-01,5071,Perturbação do sossego,99
16725919,2022-01-01,5071,Perturbação do sossego,139
16725922,2022-01-01,5071,Perturbação do sossego,127
16725927,2022-01-01,5071,Perturbação do sossego,114
16725928,2022-01-01,5071,Perturbação do sossego,7
16725934,2022-01-01,5071,Perturbação do sossego,122
16725950,2022-01-01,5071,Perturbação do sossego,109
16725955,2022-01-01,5071,Perturbação do sossego,17
16725965,2022-01-01,5071,Perturbação do sossego,132
16725978,2022-01-01,5071,Perturbação do sossego,132
16726010,2022-01-01,5071,Perturbação do sossego,20
16726034,2022-01-01,5071,Perturbação do sossego,141
16726039,2022-01-01,5071,Perturbação do sossego,151
16726051,2022-01-01,5071,Perturbação do sossego,131
16726161,2022-01-01,5071,Perturbação do sossego,15
16726248,2022-01-01,5071,Perturbação do sossego,76
16726279,2022-01-01,5071,Perturbação do sossego,151
16726337,2022-01-01,5071,Perturbação do sossego,33
16726410,2022-01-01,5071,Perturbação do sossego,71
16726412,2022-01-01,5071,Perturbação do sossego,132
16726445,2022-01-01,5071,Perturbação do sossego,144
16726473,2022-01-01,5071,Perturbação do sossego,10
16726475,2022-01-01,5071,Perturbação do sossego,128
16726514,2022-01-01,5071,Perturbação do sossego,5
16726540,2022-01-01,5071,Perturbação do sossego,10
16726543,2022-01-01,5071,Perturbação do sossego,53
16726593,2022-01-01,5071,Perturbação do sossego,20
16726646,2022-01-01,5071,Perturbação do sossego,5
16726689,2022-01-01,5071,Perturbação do sossego,128
16726700,2022-01-01,5071,Perturbação do sossego,63
16726733,2022-01-01,5071,Perturbação do sossego,151
16726753,2022-01-01,5071,Perturbação do sossego,144
16726755,2022-01-01,5071,Perturbação do sossego,122
16726765,2022-01-01,5071,Perturbação do sossego,122
16726767,2022-01-01,5071,Perturbação do sossego,29
16726768,2022-01-01,5071,Perturbação do sossego,151
16726776,2022-01-01,5071,Perturbação do sossego,125
16726780,2022-01-01,5071,Perturbação do sossego,28
16726820,2022-01-02,5071,Perturbação do sossego,20
16726821,2022-01-02,5071,Perturbação do sossego,5
16726824,2022-01-02,5071,Perturbação do sossego,20
16726826,2022-01-02,5071,Perturbação do sossego,127
16726850,2022-01-02,5071,Perturbação do sossego,35
16726851,2022-01-02,5071,Perturbação do sossego,20
16726857,2022-01-02,5071,Perturbação do sossego,35
16726900,2022-01-02,5071,Perturbação do sossego,97
16726973,2022-01-02,5071,Perturbação do sossego,20
16726986,2022-01-02,5071,Perturbação do sossego,20
16727023,2022-01-02,5071,Perturbação do sossego,144
16727045,2022-01-02,5071,Perturbação do sossego,33
16727094,2022-01-02,5071,Perturbação do sossego,144
16727294,2022-01-02,5071,Perturbação do sossego,86
16727343,2022-01-02,5071,Perturbação do sossego,61
16727394,2022-01-02,5071,Perturbação do sossego,37
16727418,2022-01-02,5071,Perturbação do sossego,152
16727443,2022-01-02,5071,Perturbação do sossego,24
16727461,2022-01-02,5071,Perturbação do sossego,123
16727488,2022-01-02,5071,Perturbação do sossego,38
16727492,2022-01-02,5071,Perturbação do sossego,35
16727501,2022-01-02,5071,Perturbação do sossego,128
16727504,2022-01-02,5071,Perturbação do sossego,144
16727515,2022-01-02,5071,Perturbação do sossego,24
16727529,2022-01-02,5071,Perturbação do sossego,132
16727569,2022-01-02,5071,Perturbação do sossego,37
16727582,2022-01-02,5071,Perturbação do sossego,38
16727604,2022-01-02,5071,Perturbação do sossego,122
